Nome;Link;Avaliacao;Preço Antigo;Parcelas;Preço Parcelado;Preço a Vista
Celular Multilaser Vita II Do Idoso Teclas Grandes Flip 32MB P9020;https://www.magazineluiza.com.br/celular-multilaser-vita-ii-do-idoso-teclas-grandes-flip-32mb-p9020/p/egbc6b509a/te/ceba/;4.5 (172);1499,0;R$ 1.649,00 em 10x de R$ 164,90 sem juros;1649,0;225,31
Celular Para Idoso Com Teclas Grandes Dual Chip Cx908 Lenoxx;https://www.magazineluiza.com.br/celular-para-idoso-com-teclas-grandes-dual-chip-cx908-lenoxx/p/cc1je2bbk0/te/ceba/;3.5 (57);2000,0;R$ 2.599,00 em 10x de R$ 259,90 sem juros;2599,0;164,44
"Smartphone Samsung Galaxy A35 128GB Rosa 5G 6GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a35-128gb-rosa-5g-6gb-ram-66-cam-tripla-selfie-13mp-dual-chip/p/238156400/te/ga35/;4.8 (1079);3198,0;R$ 1.366,17 em 10x de R$ 136,62 sem juros;1366,17;1484,1
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Grafite;https://www.magazineluiza.com.br/samsung-galaxy-s23-fe-5g-smartphone-android-128gb-grafite/p/237985800/te/s23f/;4.7 (3033);1576,0;R$ 1.880,00 em 10x de R$ 188,00 sem juros;1880,0;2469,05
Smartphone Xiaomi Redmi Note 13 8GB+256GB ( Preto ) 4G;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-256gb-preto-4g/p/gb90383cb2/te/xiao/;4.7 (3);1999,0;R$ 127,30 em 2x de R$ 63,65 sem juros;127,3;1229,55
Smartphone M6 pro 512GB 12GB Global AZUL;https://www.magazineluiza.com.br/smartphone-m6-pro-512gb-12gb-global-azul/p/jbf42jee1a/te/tcsp/;5.0 (12);2000,0;R$ 199,90 em 6x de R$ 33,32 sem juros;199,9;1729,6
Telefone Celular LG Antigo Simples Para Idosos E Rural, Dual;https://www.magazineluiza.com.br/telefone-celular-lg-antigo-simples-para-idosos-e-rural-dual/p/ac5ga9h2a2/tf/tfrl/;3.9 (111);3198,0;R$ 399,90 em 12x de R$ 33,33 sem juros;399,9;127,3
Celular Flip Vita Multilaser Dual Chip MP3 Azul - P9020;https://www.magazineluiza.com.br/celular-flip-vita-multilaser-dual-chip-mp3-azul-p9020/p/gdd0g9e5a7/te/ceba/;4.7 (16);1499,0;R$ 1.999,99 em 10x de R$ 200,00 sem juros;1999,99;199,9
Celular ObaSmart Conecta verde 4G 32GB fácil de usar Obabox - OB027;https://www.magazineluiza.com.br/celular-obasmart-conecta-verde-4g-32gb-facil-de-usar-obabox-ob027/p/db01h192jj/te/ceba/;3.8 (52);1699,9;R$ 879,00 em 7x de R$ 125,57 sem juros;879,0;367,91
Smartphone Xiaomi Redmi Note 13 5G 256GB - 8GB Ram (Ocean Teal) Azul;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-5g-256gb-8gb-ram-ocean-teal-azul/p/acb3kj9a0g/te/xiao/;5.0 (13);1599,0;R$ 2.748,00 em 10x de R$ 274,80 sem juros;2748,0;1839,99
Smartphone Realme Note 50 4gb 128gb;https://www.magazineluiza.com.br/smartphone-realme-note-50-4gb-128gb/p/fd675e83e1/te/tcsp/;5.0 (3);3099,0;R$ 1.900,00 em 10x de R$ 190,00 sem juros;1900,0;879,0
Smartphone Samsung Galaxy A55 256GB Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-256gb-azul-escuro-5g-8gb-ram-smartband-samsung-galaxy-fit3-prata/p/239007000/te/ga55/;4.8 (6);1389,9;R$ 2.449,00 em 10x de R$ 244,90 sem juros;2449,0;2473,2
Smartphone M6 Pro 512GB 12GB Ram Black;https://www.magazineluiza.com.br/smartphone-m6-pro-512gb-12gb-ram-black-sm6/p/gjck6j35fj/te/tcsp/;4.8 (13);1576,0;R$ 2.849,00 em 10x de R$ 284,90 sem juros;2849,0;1748,0
Telefone Celular LG Antigo 2g Simples Para Idosos E Rural Dual;https://www.magazineluiza.com.br/telefone-celular-lg-antigo-2g-simples-para-idosos-e-rural-dual/p/eafaf8ddc1/te/ceba/;4.7 (18);4499,0;R$ 899,00 em 7x de R$ 128,43 sem juros;899,0;125,5
Smartphone Celular Xiaomi Redmi Note 13 Pro 5G 8GB/256GB Azul - BR - XIAOMI;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-note-13-pro-5g-8gb-256gb-azul-br-xiaomi/p/ef0khg9gd2/te/xiao/;5.0 (11);899,99;R$ 1.495,83 em 10x de R$ 149,58 sem juros;1495,83;2253,08
Smartphone Celular Xiaomi POCO X6 Pro 5G 512GB (12GB RAM) Black Preto;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-poco-x6-pro-5g-512gb-12gb-ram-black-preto/p/fja4je0jf7/te/xiao/;5.0 (22);249,9;R$ 1.206,58 em 10x de R$ 120,66 sem juros;1206,58;2564,1
Smartphone Motorola Moto E32 64GB Grafite 4G;https://www.magazineluiza.com.br/smartphone-motorola-moto-e32-64gb-grafite-4g-octa-core-4gb-ram-65-cam-tripla-selfie-8mp/p/234993400/te/me32/;4.7 (775);299,0;R$ 1.789,00 em 10x de R$ 178,90 sem juros;1789,0;809,1
Smartphone M6 Pro 4G 256Gb 8Gb Ram Preto;https://www.magazineluiza.com.br/smartphone-m6-pro-4g-256gb-8gb-ram-preto/p/kg5ae909hc/te/tcsp/;5.0 (7);1499,99;R$ 949,00 em 10x de R$ 94,90 sem juros;949,0;1271,46
"Smartphone celular Xiaomi Redmi 13C CINZA / PRETO Dual SIM de 256GB / 8GB RAM de 6.74"" 50 + 2 + 2MP / 8MP";https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-cinza-preto-dual-sim-de-256gb-8gb-ram-de-6-74-50-2-2mp-8mp/p/gekj0a4451/te/xiao/;5.0 (1);1799,0;R$ 1.289,00 em 10x de R$ 128,90 sem juros;1289,0;1206,58
Smartphone Samsung Galaxy A35 128GB Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a35-128gb-azul-escuro-5g-6gb-ram-smartband-samsung-galaxy-fit3-grafite/p/239004300/te/ga35/;4.2 (9);1699,0;R$ 1.206,58 em 10x de R$ 120,66 sem juros;1206,58;1610,1
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-128gb-azul-claro-4g-4gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216300/te/ga15/;4.8 (8938);899,99;R$ 1.789,00 em 10x de R$ 178,90 sem juros;1789,0;854,1
"Smartphone Samsung Galaxy A15 6,5"" 256GB Verde Claro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-256gb-verde-claro-5g-8gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216000/te/ga15/;4.8 (3052);3998,0;R$ 1.495,83 em 10x de R$ 149,58 sem juros;1495,83;1160,1
"Smartphone celular Xiaomi Redmi 13C CINZA / PRETO Dual SIM de 256GB / 8GB RAM de 6.74"" 50 + 2 + 2MP / 8MP";https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-cinza-preto-dual-sim-de-256gb-8gb-ram-de-6-74-50-2-2mp-8mp/p/gekj0a4451/te/xiao/;5.0 (1);2599,9;R$ 899,00 em 7x de R$ 128,43 sem juros;899,0;1206,58
Smartphone Samsung Galaxy A35 128GB Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a35-128gb-azul-escuro-5g-6gb-ram-smartband-samsung-galaxy-fit3-grafite/p/239004300/te/ga35/;4.2 (9);2848,0;R$ 1.229,90 em 10x de R$ 122,99 sem juros;1229,9;1610,1
Smartphone M6 Pro 4G 256Gb 8Gb Ram Preto;https://www.magazineluiza.com.br/smartphone-m6-pro-4g-256gb-8gb-ram-preto/p/kg5ae909hc/te/tcsp/;5.0 (7);2699,0;R$ 1.348,88 em 10x de R$ 134,89 sem juros;1348,88;1271,46
Smartphone Motorola Moto E32 64GB Rosé 4G;https://www.magazineluiza.com.br/smartphone-motorola-moto-e32-64gb-rose-4g-octa-core-4gb-ram-65-cam-tripla-selfie-8mp/p/234993600/te/me32/;4.7 (775);2699,0;R$ 2.179,00 em 10x de R$ 217,90 sem juros;2179,0;809,1
Smartphone Celular Xiaomi Redmi 13c 8gb 256gb;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-8gb-256gb/p/cb0653b4e9/te/xiao/;5.0 (4);2199,99;R$ 816,66 em 6x de R$ 136,11 sem juros;816,66;1131,51
Smartphone Realme C67 256gb 8gb Ram Global Nfc Cam 108mp;https://www.magazineluiza.com.br/smartphone-realme-c67-256gb-8gb-ram-global-nfc-cam-108mp/p/bdj8b4j4e3/te/tcsp/;4.8 (27);367,0;R$ 949,00 em 10x de R$ 94,90 sem juros;949,0;1240,97
"Celular Samsung Galaxy A35 5G, Câmera Tripla até 50MP, Tela 6.6"", 256GB";https://www.magazineluiza.com.br/celular-samsung-galaxy-a35-5g-camera-tripla-ate-50mp-tela-6-6-256gb/p/gfj6fg3c38/te/ga35/;4.9 (16);3999,99;R$ 2.599,00 em 10x de R$ 259,90 sem juros;2599,0;2026,47
Smartphone Xiaomi Redmi A3 4GB Ram 128GB;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-a3-4gb-ram-128gb/p/ee000e0cjd/te/xiao/;1.0 (1);1239,99;R$ 1.157,70 em 9x de R$ 128,63 sem juros;1157,7;751,33
"Smartphone Samsung Galaxy A15 6,5"" 128GB Verde Claro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-128gb-verde-claro-4g-4gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216100/te/ga15/;4.8 (8938);2019,0;R$ 1.050,00 em 8x de R$ 131,25 sem juros;1050,0;854,1
Samsung Galaxy S23 FE 5G Smartphone Android 128GB Verde;https://www.magazineluiza.com.br/samsung-galaxy-s23-fe-5g-smartphone-android-128gb-verde/p/237985600/te/s23f/;4.7 (3033);2059,0;R$ 869,99 em 7x de R$ 124,28 sem juros;869,99;2469,05
Smartphone C65 4G 256Gb 8Gb Ram Preto;https://www.magazineluiza.com.br/smartphone-c65-4g-256gb-8gb-ram-preto/p/gb9098b005/te/tcsp/;ou ;1999,0;R$ 244,90 em 8x de R$ 30,61 sem juros;244,9;984,05
Smartphone Xiaomi Redmi 13C 4GB /128GB Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-13c-4gb-128gb-preto/p/fk65eg7893/te/xiao/;5.0 (4);2699,0;R$ 271,73 em 2x de R$ 135,87 sem juros;271,73;997,5
Smartphone xiaomi redmi a3 4gb+128gb, preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-a3-4gb-128gb-preto/p/fk472k2842/te/xiao/;5.0 (1);3498,0;R$ 2.809,99 em 10x de R$ 281,00 sem juros;2809,99;782,99
Celular Simples Lanterna Radio Fm Idoso Numeros Grande P9021;https://www.magazineluiza.com.br/celular-simples-lanterna-radio-fm-idoso-numeros-grande-p9021-multilaser/p/ba922bgg91/te/ceba/;4.6 (65);5999,0;R$ 1.059,90 em 8x de R$ 132,49 sem juros;1059,9;225,31
Celular Ideal Para Idosos Positivo 4g Dual Sim Simples;https://www.magazineluiza.com.br/celular-ideal-para-idosos-positivo-4g-dual-sim-simples/p/hjcd10kfdf/te/ceba/;3.4 (9);1799,0;R$ 1.205,98 em 10x de R$ 120,60 sem juros;1205,98;249,99
Smartphone Xiaomi POCO X6 Pro 5G 512GB (12GB RAM) Black Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-poco-x6-pro-5g-512gb-12gb-ram-black-preto/p/bc1jf6c4g5/te/xiao/;5.0 (1);1299,0;R$ 1.099,00 em 10x de R$ 109,90 sem juros;1099,0;2528,99
