Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Samsung Galaxy A15 5G Octa-core 4Gb Ram 128Gb;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-5g-octa-core-4gb-ram-128gb/p/he3ed9f969/te/galx/;5.0 (12);R$ 999,89 em 8x de R$ 124,99 sem juros;999,89;899,9;Magazine Luiza;14/11/2024 20:14:36
Smartphone Samsung Galaxy A55 5G 128GB Tela 6.6 Câmera 50MP Selfie 32MP Android 14;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-5g-128gb-tela-6-6-camera-50mp-selfie-32mp-android-14/p/gkf94a240a/te/galx/;5.0 (8);R$ 2.053,30 em 12x de R$ 171,11 sem juros;2053,3;1745,31;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb/p/fac483fa3f/te/xiao/;4.3 (3);R$ 1.459,90 em 10x de R$ 145,99 sem juros;1459,9;1459,9;Magazine Luiza;14/11/2024 20:14:36
"Celular Samsung Galaxy A55 5G, Câmera Tripla até 50MP, Tela 6.6"", 256GB";https://www.magazineluiza.com.br/celular-samsung-galaxy-a55-5g-camera-tripla-ate-50mp-tela-6-6-256gb/p/ae7daa705a/te/ga55/;4.8 (918);R$ 2.109,00 em 10x de R$ 210,90 sem juros;2109,0;1898,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Realme Note 50 3gb 64gb Azul;https://www.magazineluiza.com.br/smartphone-realme-note-50-3gb-64gb-azul/p/hf731g9f82/te/tcsp/;4.7 (3);R$ 788,88 em 6x de R$ 131,48 sem juros;788,88;725,77;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto G04s 6.6 Octa Core 128GB 4GB Quadriband;https://www.magazineluiza.com.br/smartphone-motorola-moto-g04s-6-6-octa-core-128gb-4gb-quadriband/p/jde325590h/te/srmt/;4.3 (3);R$ 999,00 em 8x de R$ 124,88 sem juros;999,0;849,15;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb/p/ec5gf27d8f/te/xiao/;4.7 (6);R$ 1.449,90 em 10x de R$ 144,99 sem juros;1449,9;1449,9;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO A79 256GB Roxo 5G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-a79-256gb-roxo-5g-8gb-8gb-ram-672-cam-50mp-selfie-8mp-dual-chip/p/238279900/te/op79/;4.6 (14);R$ 1.999,00 em 10x de R$ 199,90 sem juros;1999,0;1799,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone OPPO A58 256GB Verde 4G 8GB + 8GB (RAM+) 6,72"" Câm. 50MP + Selfie 8MP Dual Chip";https://www.magazineluiza.com.br/smartphone-oppo-a58-256gb-verde-4g-8gb-8gb-ram-672-cam-50mp-selfie-8mp-dual-chip/p/238280000/te/op58/;4.7 (34);R$ 1.399,00 em 10x de R$ 139,90 sem juros;1399,0;1259,1;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A05s 6,7"" 128GB 6GB 4G Preto";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a05s-67-128gb-6gb-4g-preto/p/bb3ak3g2h1/te/galx/;3.7 (3);R$ 845,88 em 7x de R$ 120,84 sem juros;845,88;845,88;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb/p/gaa8k4jfa1/te/xiao/;4.7 (6);R$ 1.449,90 em 10x de R$ 144,99 sem juros;1449,9;1449,9;Magazine Luiza;14/11/2024 20:14:36
Celular do idoso com Internet e WhatsApp 32GB OB056 - Multi;https://www.magazineluiza.com.br/celular-do-idoso-com-internet-e-whatsapp-32gb-ob056-multi/p/gbf994jbb8/te/tcsp/;3.7 (170);R$ 268,70 em 8x de R$ 33,59 sem juros;268,7;268,7;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi A3 4GB Ram 128GB;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-a3-4gb-ram-128gb/p/cbeda151ek/te/xiao/;1.0 (1);R$ 899,90 em 7x de R$ 128,56 sem juros;899,9;827,91;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A05S 4G 128GB 6GB 6,7"" Preto";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a05s-4g-128gb-6gb-67-preto/p/fk6325e2e8/te/galx/;3.7 (3);R$ 865,56 em 7x de R$ 123,65 sem juros;865,56;779,0;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Moto G24 128GB Rosa 4GB Ram;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-rosa-4gb-ram/p/jf4h3735bg/te/srmt/;5.0 (2);R$ 799,98 em 6x de R$ 133,33 sem juros;799,98;735,98;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8GB+256GB ( Preto ) 4G;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-256gb-preto-4g/p/gb90383cb2/te/xiao/;4.8 (4);R$ 1.366,17 em 10x de R$ 136,62 sem juros;1366,17;1229,55;Magazine Luiza;14/11/2024 20:14:36
